framework,module,file,kind,namespace,type,member,signature
RCore,Data/JObjectDB,Assets\RCore\Main\Runtime\Data\JObjectDB\JObjectDataCollection.cs,class,RCore.Data.JObject,JObjectDataCollectionEditor,,public class JObjectDataCollectionEditor : UnityEditor.Editor
RCore,Data/JObjectDB,Assets\RCore\Main\Runtime\Data\JObjectDB\JObjectDB.cs,class,RCore.Data.JObject,JObjectDB,,public static class JObjectDB
RCore,Data/JObjectDB,Assets\RCore\Main\Runtime\Data\JObjectDB\JObjectDBManager.cs,class,RCore.Data.JObject,JObjectDBManager,,public abstract class JObjectDBManager<T> : MonoBehaviour where T : JObjectDataCollection
RCore,Data/JObjectDB,Assets\RCore\Main\Runtime\Data\JObjectDB\JObjectDBManagerV2.cs,class,RCore.Data.JObject,JObjectDBManagerV2,,public abstract class JObjectDBManagerV2<T> : MonoBehaviour where T : JObjectModelCollection
RCore,Data/JObjectDB,Assets\RCore\Main\Runtime\Data\JObjectDB\JObjectHandler.cs,class,RCore.Data.JObject,JObjectHandler,,public abstract class JObjectHandler<T> : IJObjectHandler where T : JObjectDataCollection
RCore,Data/JObjectDB,Assets\RCore\Main\Runtime\Data\JObjectDB\JObjectModel.cs,interface,RCore.Data.JObject,IJObjectModel,,public interface IJObjectModel : IJObjectHandler
RCore,Data/JObjectDB,Assets\RCore\Main\Runtime\Data\JObjectDB\JObjectModel.cs,class,RCore.Data.JObject,JObjectModel,,"public abstract class JObjectModel<T> : ScriptableObject, IJObjectModel where T : JObjectData"
RCore,Data/JObjectDB,Assets\RCore\Main\Runtime\Data\JObjectDB\JObjectModelCollection.cs,class,RCore.Data.JObject,JObjectModelCollection,,public partial class JObjectModelCollection : ScriptableObject
RCore,Data/JObjectDB,Assets\RCore\Main\Runtime\Data\JObjectDB\JObjectModelCollection.cs,class,RCore.Data.JObject,JObjectModelCollectionEditor,,public class JObjectModelCollectionEditor : Sirenix.OdinInspector.Editor.OdinEditor
RCore,Data/JObjectDB,Assets\RCore\Main\Runtime\Data\JObjectDB\JObjectModelCollection.cs,class,RCore.Data.JObject,JObjectModelCollectionEditor,,public class JObjectModelCollectionEditor : UnityEditor.Editor
RCore,Data/JObjectDB,Assets\RCore\Main\Runtime\Data\JObjectDB\Module\SessionData.cs,class,RCore.Data.JObject,NewDayStartedEvent,,public class NewDayStartedEvent : BaseEvent { }
RCore,Data/JObjectDB,Assets\RCore\Main\Runtime\Data\JObjectDB\Module\SessionData.cs,class,RCore.Data.JObject,SessionData,,public class SessionData : JObjectData
RCore,Data/JObjectDB,Assets\RCore\Main\Runtime\Data\JObjectDB\Module\SessionDataHandler.cs,class,RCore.Data.JObject,SessionDataHandler,,public class SessionDataHandler : JObjectHandler<JObjectDataCollection>
RCore,Data/JObjectDB,Assets\RCore\Main\Runtime\Data\JObjectDB\Module\SessionModel.cs,interface,RCore.Data.JObject,ISessionModel,,public interface ISessionModel
RCore,Data/JObjectDB,Assets\RCore\Main\Runtime\Data\JObjectDB\Module\SessionModel.cs,class,RCore.Data.JObject,SessionModel,,"public class SessionModel : JObjectModel<SessionData>, ISessionModel"
RCore,Data/KeyValueDB,Assets\RCore\Main\Runtime\Data\KeyValueDB\KeyValueCollection.cs,class,RCore.Data.KeyValue,KeyValueSS,,public class KeyValueSS : IComparable<KeyValueSS>
